genome_id	isolation_source	host_name	Environment
29486.74	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.75	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.53	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.55	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.102	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.101	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.62	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.85	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.81	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.86	Fish hatchery	Atlantic salmon, Salmo salar	animal
1163745.3	stranded wild Atlantic white-sided dolphin	Atlantic White-sided Dolphin, Lagenorhynchus acutus	animal
1193059.3	Bos primigenius	Aurochs, Bos primigenius	animal
1401689.3	chicken clinically diagnosed with colibacillosis	avian	animal
989403.3	marine sponge	Axinella dissimilis	animal
989396.3	marine sponge	Axinella dissimilis	animal
989397.3	marine sponge	Axinella dissimilis	animal
989410.3	marine sponge	Axinella dissimilis	animal
989422.3	marine sponge	Axinella dissimilis	animal
989432.3	marine sponge	Axinella dissimilis	animal
989436.3	marine sponge	Axinella dissimilis	animal
1735583.3	marine sponge	Axinella dissimilis	animal
1735585.3	marine sponge	Axinella dissimilis	animal
252393.12	larvae gut	Bactrocera oleae	animal
1003202.3	Bandicoot rats (Bandicota sp	Bandicoot rat, Bandicota sp	animal
1404.49	droppings of bar-headed goose	bar-headed goose	animal
1633200.3	hindgut of Cryptocercus punctulatus	Barbulanympha sp.	animal
1633201.3	hindgut of Cryptocercus punctulatus	Barbulanympha sp.	animal
1633202.3	hindgut of Cryptocercus punctulatus	Barbulanympha sp.	animal
1633203.3	hindgut of Cryptocercus punctulatus	Barbulanympha sp.	animal
1429916.3	fruit bat held in captivity suffering from necrosis of its wing	Bat, Pteropus giganteus	animal
1284675.3	gill	Bathymodiolus heckerae	animal
1784822.3	midgut	Bathynomus giganteus	animal
1784823.3	midgut	Bathynomus giganteus	animal
1396.1826	insect	Beetle	animal
1428.741	insect	Beetle	animal
182217.3	beluga whale from Mystic Aquarium	Beluga whale, Delphinapterus leucas	animal
1261658.3	Ovis canadensis (Bighorn sheep)	Bighorn sheep, Ovis canadensis	animal
195.719	Wild bird	Bird	animal
1138896.3	rumen	Bison, Bison sp.	animal
391009.9	the gills of Bathymodiolus brevior, a deep-seamussel	Bivalve, Bathymodiolus brevior	animal
1818881.9	gill tissue of clam	Bivalve, Loripes lucinalis	animal
1818881.11	gill tissue of clam	Bivalve, Loripes lucinalis	animal
1818881.8	gill tissue of clam	Bivalve, Loripes lucinalis	animal
1818881.1	gill tissue of clam	Bivalve, Loripes lucinalis	animal
1818881.12	gill tissue of clam	Bivalve, Loripes lucinalis	animal
1918949.3	gill tissue	Bivalve, Solemya elarraichensis	animal
642797.4	gill tissue	Bivalve, Solemya pervernicosa	animal
1918948.3	gill tissue	Bivalve, Solemya velesiana	animal
377629.3	the gills of the wood-boring mollusc (Bivalvia:Teredinidae) and may potentially be useful	Bivalvia, Teredinidae	animal
1121356.3	Trachea of apparently healthy wild nestling black storks	Black stork, Ciconia nigra	animal
1056818.3	gill tissue of a wood-boring mollusc Lyrodus pedicellatus	Blacktip shipworm, Lyrodus pedicellatus	animal
1884656.4	hindgut	Bluespine unicornfish, Naso unicornis	animal
1884657.4	hindgut	Bluespine unicornfish, Naso unicornis	animal
1885919.3	Isolated from the gills of a bluespotted ribbontail ray (Taeniura lymma), captive bred, found dead at 16.09.2014, died in quarantine. Isolation of strain from gills only, other organs negative.	bluespotted ribbontail ray (Taeniura lymma)	animal
1507806.27	snake	Boa constrictor	animal
1088719.3	bobtail squid	Bobtail squid, Sepiola robusta	animal
509170.6	Body Louse	Body louse, Pediculus humanus	animal
1240085.3	rumen	Bos indicus	animal
67854.3	rumen	Bos taurus	animal
320483.3	pooled blood samples from naturally infected cattle	Bos taurus	animal
320483.5	Cattle blood	Bos taurus	animal
1000935.3	Cattle blood	Bos taurus	animal
1000936.3	Cattle blood	Bos taurus	animal
1000938.3	Cattle blood	Bos taurus	animal
1000939.3	Cattle blood	Bos taurus	animal
234826.1	Cattle blood	Bos taurus	animal
1000937.3	Cattle blood	Bos taurus	animal
1392.83	dead cow	Bos taurus	animal
486619.4	bovine isolate	Bos taurus	animal
486624.3	infected cattle	Bos taurus	animal
1213182.3	cow carcass	Bos taurus	animal
1392.327	liver from bovine aborted fetus	Bos taurus	animal
1680.45	rumen	Bos taurus	animal
78343.3	Bovine rumen	Bos taurus	animal
78345.3	Bovine rumen	Bos taurus	animal
1690.4	Bovine rumen	Bos taurus	animal
78346.3	Bovine rumen	Bos taurus	animal
1328356.3	Cattle; field isolate	Bos taurus	animal
1328355.3	Cattle; field isolate	Bos taurus	animal
1169203.3	Cow	Bos taurus	animal
1169205.3	Cow	Bos taurus	animal
1169206.3	Cow	Bos taurus	animal
1160205.3	Bovine	Bos taurus	animal
1169210.3	Bovine	Bos taurus	animal
1104320.3	fetus gastric of dairy cattle	Bos taurus	animal
520450.3	bovine fetus	Bos taurus	animal
520452.3	bovine fetus	Bos taurus	animal
1029825.4	infected cattle	Bos taurus	animal
185008.3	rumen contents	Bos taurus	animal
1167640.3	organisms were grown from swabs orsamples taken from cow genitalia:uterus	Bos taurus	animal
1167638.3	grown from swabs or samples taken fromcow genitalia:vagina	Bos taurus	animal
1333529.4	prepuce of a naturally-infected bull	Bos taurus	animal
197.7886	Cow Feces	Bos taurus	animal
197.7887	Cow Feces	Bos taurus	animal
197.7888	Cow Feces	Bos taurus	animal
197.7889	Cow Feces	Bos taurus	animal
197.789	Cow Feces	Bos taurus	animal
197.7891	Cow Feces	Bos taurus	animal
889230.3	dairy cow, adult	Bos taurus	animal
889231.3	dairy cow, adult	Bos taurus	animal
889232.3	dairy cow, <6 weeks old calf	Bos taurus	animal
889233.3	dairy cow, <6 weeks old calf	Bos taurus	animal
889234.3	dairy cow, adult	Bos taurus	animal
889247.3	bovine feces	Bos taurus	animal
889247.4	bovine feces	Bos taurus	animal
32022.292	Bovine feces	Bos taurus	animal
32024.3	the prepuce (genital tissues) of a healthy bull	Bos taurus	animal
1134474.3	bovine rumen	Bos taurus	animal
1234367.3	the cervical swab of a cow with metritis	Bos taurus	animal
1491.435	Cattle Farm	Bos taurus	animal
1491.434	Cattle Farm	Bos taurus	animal
1491.438	Cattle Farm	Bos taurus	animal
699033.6	bovine	Bos taurus	animal
691161.5	bovine	Bos taurus	animal
35756.11	bovine	Bos taurus	animal
889513.3	abscess of mastitis from a bovine	Bos taurus	animal
1724.6	bovine	Bos taurus	animal
1121370.3	Skin of the udder of a cow with a profound ulceration	Bos taurus	animal
1224164.3	cow rumen	Bos taurus	animal
79604.3	rumen	Bos taurus	animal
1121387.3	Scabs from cattle, North Rhodesia	Bos taurus	animal
319970.3	bovine material	Bos taurus	animal
745156.3	udder acute mastitis	Bos taurus	animal
869695.4	calf	Bos taurus	animal
868184.3	calf	Bos taurus	animal
868149.3	calf	Bos taurus	animal
868152.3	calf	Bos taurus	animal
868172.3	calf	Bos taurus	animal
758831.4	udder	Bos taurus	animal
637388.3	bovine fecal sample	Bos taurus	animal
570506.3	bovine fecal sample	Bos taurus	animal
83334.192	feces from steer	Bos taurus	animal
83334.194	calf feces	Bos taurus	animal
562.10494	udder	Bos taurus	animal
562.10492	udder	Bos taurus	animal
